"","id","Idescat_code","municipality_name","year","group","group_threat","treat_ever","water_use","water_price","population","shr_left_2011","shr_left_2015","shr_left_2016","shr_14oryounger_2013","shr_65orolder_2013","shr_14oryounger_2016","shr_65orolder_2016","shr_tertiaryedu_2021","shared_basins","index_hydrological_drought"
"6390",786,"171931","SILS",2017,0,NA,0,50.8810490693739,0.643,5910,0.373101952277657,0.524205202312139,0.586930693069307,0.179419525065963,0.147933157431838,0.178849407783418,0.157868020304569,24.8,0,0.730043541364296
"6393",786,"171931","SILS",2022,0,NA,0,53.6543722145382,0.643,6507,0.373101952277657,0.524205202312139,0.586930693069307,0.179419525065963,0.147933157431838,0.178849407783418,0.157868020304569,24.8,0,0.730043541364296
"6394",786,"171931","SILS",2023,0,NA,0,48.5009068923821,0.643,6616,0.373101952277657,0.524205202312139,0.586930693069307,0.179419525065963,0.147933157431838,0.178849407783418,0.157868020304569,24.8,0,0.730043541364296
"6461",846,"171997","TORROELLA DE MONTGRI",2017,2023,NA,1,71.841611670719,0.736,11516,0.368092263334935,0.513272362257417,0.563076176613295,0.168845885634589,0.16405160390516,0.164870502346602,0.170693551190683,28.4,0,0.330014224751067
"6463",846,"171997","TORROELLA DE MONTGRI",2019,2023,NA,1,70.7386861313869,0.736,11645,0.368092263334935,0.513272362257417,0.563076176613295,0.168845885634589,0.16405160390516,0.164870502346602,0.170693551190683,28.4,0,0.330014224751067
"6464",846,"171997","TORROELLA DE MONTGRI",2022,2023,NA,1,73.3066080756156,0.736,12061,0.368092263334935,0.513272362257417,0.563076176613295,0.168845885634589,0.16405160390516,0.164870502346602,0.170693551190683,28.4,0,0.330014224751067
"6466",846,"171997","TORROELLA DE MONTGRI",2020,2023,NA,1,66.9256505576208,0.736,11836,0.368092263334935,0.513272362257417,0.563076176613295,0.168845885634589,0.16405160390516,0.164870502346602,0.170693551190683,28.4,0,0.330014224751067
"6467",846,"171997","TORROELLA DE MONTGRI",2023,2023,NA,1,63.5802812295618,0.736,12232,0.368092263334935,0.513272362257417,0.563076176613295,0.168845885634589,0.16405160390516,0.164870502346602,0.170693551190683,28.4,0,0.330014224751067
"6470",846,"171997","TORROELLA DE MONTGRI",2018,2023,NA,1,67.4758602756349,0.736,11537,0.368092263334935,0.513272362257417,0.563076176613295,0.168845885634589,0.16405160390516,0.164870502346602,0.170693551190683,28.4,0,0.330014224751067
"6472",846,"171997","TORROELLA DE MONTGRI",2021,2023,NA,1,69.8735756466772,0.736,12023,0.368092263334935,0.513272362257417,0.563076176613295,0.168845885634589,0.16405160390516,0.164870502346602,0.170693551190683,28.4,0,0.330014224751067
"6473",846,"171997","TORROELLA DE MONTGRI",2024,2023,NA,1,NA,0.736,12.421,0.368092263334935,0.513272362257417,0.563076176613295,0.168845885634589,0.16405160390516,0.164870502346602,0.170693551190683,28.4,0,0.330014224751067
"6474",848,"172001","TORTELLA",2023,0,NA,0,39.3104294478528,0.751,815,0.493638676844784,0.57345971563981,0.64218009478673,0.13953488372093,0.237726098191214,0.139564660691421,0.227912932138284,40.7,0,0.730043541364296
"6475",848,"172001","TORTELLA",2024,0,NA,0,NA,0.946,828,0.493638676844784,0.57345971563981,0.64218009478673,0.13953488372093,0.237726098191214,0.139564660691421,0.227912932138284,40.7,0,0.730043541364296
"6476",848,"172001","TORTELLA",2020,0,NA,0,40.6283618581907,0.751,818,0.493638676844784,0.57345971563981,0.64218009478673,0.13953488372093,0.237726098191214,0.139564660691421,0.227912932138284,40.7,0,0.730043541364296
"6481",848,"172001","TORTELLA",2022,0,NA,0,43.8456865127582,0.751,823,0.493638676844784,0.57345971563981,0.64218009478673,0.13953488372093,0.237726098191214,0.139564660691421,0.227912932138284,40.7,0,0.730043541364296
"6483",848,"172001","TORTELLA",2017,0,NA,0,45.8441890166028,0.751,783,0.493638676844784,0.57345971563981,0.64218009478673,0.13953488372093,0.237726098191214,0.139564660691421,0.227912932138284,40.7,0,0.730043541364296
